company,create_time,job_city,job_id,job_name,key_word,salary,salary_avg,salary_max,salary_min
广东长盈精密技术有限公司,2018-05-05 00:00:00,东莞-松山湖区,95265006,计算机视觉科长,硬件,1.5-2万/月,27.5,20.0,15.0
东莞市森动律电子有限公司,2018-05-05 00:00:00,东莞,99194309,电子工程师,硬件,0.9-1.5万/月,19.5,15.0,9.0
东莞市银钢机械设备有限公司,2018-05-05 00:00:00,东莞-长安镇,101692640,机械储干,C++,3-4.5千/月,6.0,4.5,3.0
广东亿鑫丰智能装备股份有限公司,2018-05-05 00:00:00,东莞,100270792,CCD视觉调试工程师,C++,0.8-1.5万/月,19.0,15.0,8.0
贵州珺鸿科技有限公司,2018-05-05 00:00:00,东莞-虎门镇,101447175,研发工程师,硬件,1-2万/月,25.0,20.0,10.0
东莞市万江耀记汽车修配厂,2018-05-05 00:00:00,东莞-万江区,94645957,网络运营专员,硬件,3-4.5千/月,6.0,4.5,3.0
旭川化学(苏州)有限公司,2018-05-05 00:00:00,东莞,56738468,销售代表/销售工程师/业务员（工作地点：广东省）,C++,3-4.5千/月,6.0,4.5,3.0
深圳盟星科技股份有限公司,2018-05-05 00:00:00,东莞,99354111,网管员,硬件,4.5-6千/月,8.25,6.0,4.5
东莞市金河田实业有限公司,2018-05-05 00:00:00,东莞,96525921,研发（副）经理（电烤箱）,硬件,1-1.5万/月,20.0,15.0,10.0
珠海市运泰利自动化设备有限公司,2018-05-05 00:00:00,异地招聘,90846885,电子工程师,C++,0.8-1万/月,14.0,10.0,8.0
东莞市迪沙机电有限公司,2018-05-05 00:00:00,东莞,100109044,售后工程师,C++,0.5-1万/月,12.5,10.0,5.0
东莞市鹏腾五金电子有限公司,2018-05-05 00:00:00,东莞-大岭山镇,90646176,网络运营专员,硬件,6-8千/月,11.0,8.0,6.0
东莞市千幻魔镜实业有限公司,2018-05-05 00:00:00,东莞-凤岗镇,85483157,电子工程师,硬件,0.7-1.2万/月,15.5,12.0,7.0
东莞永佳中通汽车服务有限公司,2018-05-05 00:00:00,东莞-厚街镇,83974460,喷漆中工、小工,C++,3-5千/月,6.5,5.0,3.0
东莞声毅电子有限公司,2018-05-05 00:00:00,东莞-常平镇,101683339,QC组长,硬件,4.5-6千/月,8.25,6.0,4.5
东莞市微石塑胶金属科技有限公司,2018-05-05 00:00:00,东莞-寮步镇,79167158,渠道拓展,C++,3.5-5千/月,6.75,5.0,3.5
深圳市东方亮彩精密技术有限公司,2018-05-05 00:00:00,东莞,101034859,网络工程师,C++,5-7千/月,9.5,7.0,5.0
环球工业机械（东莞）有限公司,2018-05-05 00:00:00,东莞,93016195,信息技术工程师,硬件,6.5-9千/月,12.25,9.0,6.5
东莞市本量电子科技有限公司,2018-05-05 00:00:00,东莞-长安镇,99697786,研发主管,硬件,20-30万/年,33.33,25.0,16.666666666666668
东莞南玻光伏科技有限公司,2018-05-05 00:00:00,东莞,93469764,暖通工程师,C++,0.8-1万/月,14.0,10.0,8.0
东莞艾可迅复合材料有限公司,2018-05-05 00:00:00,东莞,100329118,系统测试工程师,C++,1-1.5万/月,20.0,15.0,10.0
